"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.683054567E2,-4.962211990E1,3.005246353E1,-3.271864319E1
1.683553187E2,-5.025502396E1,2.646772766E1,-3.253921509E1
1.684051817E2,-4.963193512E1,2.486096954E1,-3.047138977E1
1.684550438E2,-4.727390671E1,2.411211395E1,-2.875000000E1
1.685049057E2,-4.398295212E1,2.439376831E1,-2.757739258E1
1.685547687E2,-3.953712463E1,2.491355896E1,-2.679635620E1
1.686046300E2,-3.514618683E1,2.629863739E1,-2.520195007E1
1.686544930E2,-3.017474747E1,2.745377350E1,-2.464067078E1
1.687043550E2,-2.423818588E1,2.858460617E1,-2.431269836E1
1.687542180E2,-1.831683350E1,3.072153854E1,-2.432778931E1
1.688040800E2,-1.274658585E1,3.355429840E1,-2.459295654E1
1.688539430E2,-7.405384064E0,3.659013748E1,-2.481454468E1
1.689038050E2,-3.277172089E0,4.030713272E1,-2.450811768E1
1.689536680E2,-1.173530579E0,4.425808334E1,-2.579702759E1
1.690035300E2,-4.951057434E-1,4.788402176E1,-2.559094238E1
1.690533930E2,-1.262271881E0,5.070876694E1,-2.596322632E1
1.691032550E2,-4.417575836E0,5.246306610E1,-2.651715088E1
1.691531170E2,-7.928512573E0,5.377026367E1,-2.637045288E1
1.692029800E2,-1.060190964E1,5.365490723E1,-2.724459839E1
1.692528420E2,-1.370552826E1,5.257600403E1,-2.705015564E1
1.693027050E2,-1.527820969E1,5.097021866E1,-2.705438232E1
1.693525670E2,-1.735425186E1,4.891088104E1,-2.765554810E1
1.694024300E2,-1.877093506E1,4.768609238E1,-2.875299072E1
1.694522920E2,-1.905376816E1,4.622398758E1,-3.036573792E1
1.695021550E2,-2.031669617E1,4.610723114E1,-3.179374695E1
1.695520170E2,-2.172018051E1,4.614061737E1,-3.506875610E1
1.696018801E2,-2.323866844E1,4.746432495E1,-3.762994385E1
1.696517421E2,-2.528699684E1,4.990639496E1,-3.985116577E1
1.697016051E2,-2.828415489E1,5.334083557E1,-3.969731140E1
1.697514671E2,-2.979623985E1,5.743182373E1,-3.994073486E1
1.698013291E2,-3.078352165E1,6.114624786E1,-3.987974548E1
1.698511921E2,-2.986219788E1,6.692839813E1,-3.914576721E1
1.699010541E2,-2.831382942E1,7.244051361E1,-3.856564331E1
1.699509171E2,-2.544462395E1,7.900543976E1,-3.917930603E1
1.700007791E2,-2.305173302E1,8.632666016E1,-3.890168762E1
1.700506421E2,-1.825803757E1,9.280025482E1,-4.067109680E1
1.701005041E2,-1.400911713E1,9.865461731E1,-4.328593445E1
1.701503671E2,-1.185738754E1,1.038133240E2,-4.547531128E1
1.702002291E2,-1.105242538E1,1.073730698E2,-4.816896057E1
1.702500921E2,-1.038899994E1,1.110290833E2,-5.082774353E1
1.702999541E2,-1.150399017E1,1.136658096E2,-5.247676086E1
1.703498171E2,-1.394700623E1,1.160500107E2,-5.510484314E1
1.703996791E2,-1.927912521E1,1.179573441E2,-5.784854126E1
1.704495411E2,-2.615776825E1,1.199764786E2,-5.858338928E1
1.704994041E2,-3.323818970E1,1.218508987E2,-5.908706665E1
1.705492661E2,-4.082844543E1,1.219692307E2,-6.098643494E1
1.705991287E2,-4.784030151E1,1.209493790E2,-6.290341187E1
1.706489907E2,-5.720987320E1,1.182661972E2,-6.542915344E1
1.706988537E2,-6.618000031E1,1.136829376E2,-6.769702148E1
1.707487157E2,-7.732566833E1,1.058302841E2,-7.116667175E1
1.707985787E2,-8.889010620E1,9.414982605E1,-7.614024353E1
1.708484407E2,-9.598332214E1,8.198088837E1,-7.920864868E1
1.708983037E2,-9.903469849E1,6.887358093E1,-8.325819397E1
1.709481657E2,-9.976943207E1,5.728231812E1,-8.527294922E1
1.709980287E2,-1.004559708E2,5.016961670E1,-8.415016174E1
1.710478907E2,-1.026684113E2,4.474764252E1,-7.819984436E1
1.710977537E2,-1.013344727E2,4.214808655E1,-7.321807861E1
1.711476157E2,-9.859119415E1,4.241498184E1,-6.813011169E1
1.711974787E2,-9.342602539E1,4.470114136E1,-6.459730530E1
1.712473407E2,-8.788325500E1,4.864287186E1,-5.973551941E1
1.712972027E2,-7.946690369E1,5.332990265E1,-5.596607971E1
1.713470657E2,-7.275707245E1,5.699376678E1,-5.289668274E1
1.713969277E2,-6.408629608E1,6.085311890E1,-5.110910034E1
1.714467907E2,-5.588604355E1,6.505971527E1,-5.000642395E1
1.714966527E2,-4.914716339E1,6.902706146E1,-4.930621338E1
1.715465157E2,-4.351059341E1,7.224137115E1,-4.854472351E1
1.715963785E2,-3.879443359E1,7.644346619E1,-5.049967957E1
1.716462415E2,-3.532115555E1,8.019438171E1,-5.320288086E1
1.716961035E2,-3.328976440E1,8.273035431E1,-5.555230713E1
1.717459665E2,-3.405841064E1,8.318203735E1,-5.702856445E1
1.717958285E2,-3.850217438E1,8.270595551E1,-5.732815552E1
1.718456915E2,-4.302945709E1,8.074580383E1,-5.744332886E1
1.718955535E2,-4.720930099E1,7.751344299E1,-5.743495178E1
1.719454165E2,-5.046102524E1,7.189968109E1,-5.758564758E1
1.719952785E2,-5.370277023E1,6.542102814E1,-5.633123779E1
1.720451415E2,-5.592791367E1,5.980812836E1,-5.588664246E1
1.720950035E2,-5.817092896E1,5.240186310E1,-5.537324524E1
1.721448655E2,-5.919286346E1,4.544599915E1,-5.507374573E1
1.721947285E2,-5.893389893E1,3.824328613E1,-5.503808594E1
1.722445905E2,-5.680203247E1,3.321971130E1,-5.652159119E1
1.722944535E2,-5.417964554E1,2.840581894E1,-5.829924011E1
1.723443155E2,-5.364030838E1,2.622366333E1,-5.761773682E1
1.723941785E2,-5.402251816E1,2.620352554E1,-5.522512817E1
1.724440405E2,-5.276147461E1,2.808276367E1,-5.476454163E1
1.724939035E2,-5.041310120E1,3.124243164E1,-5.382247925E1
1.725437655E2,-4.918380737E1,3.471477509E1,-5.276037598E1
1.725936279E2,-4.705960083E1,3.889634705E1,-5.101785278E1
1.726434899E2,-4.578295898E1,4.352223206E1,-4.823437500E1
1.726933529E2,-4.207437134E1,4.788129044E1,-4.776846313E1
1.727432149E2,-3.898277283E1,5.155127716E1,-4.712138367E1
1.727930779E2,-3.457334137E1,5.496968842E1,-4.711611938E1
1.728429399E2,-3.249298096E1,5.690494537E1,-4.759393311E1
1.728928029E2,-3.013320541E1,5.873957825E1,-4.816983032E1
1.729426649E2,-2.816039467E1,5.946418762E1,-4.877551270E1
1.729925269E2,-2.679254341E1,6.003048706E1,-4.873640442E1
1.730423899E2,-2.459207344E1,5.949536896E1,-4.950149536E1
1.730922519E2,-2.452907944E1,5.873099518E1,-5.029428101E1
1.731421149E2,-2.569808197E1,5.773252106E1,-5.097993469E1
1.731919769E2,-2.606284714E1,5.675959015E1,-5.079083252E1
1.732418399E2,-2.699237633E1,5.555284882E1,-5.143504333E1
1.732917019E2,-2.829067230E1,5.398004150E1,-5.308952332E1
1.733415649E2,-3.064867592E1,5.215593719E1,-5.385726929E1
1.733914269E2,-3.190947533E1,5.095602798E1,-5.488003540E1
1.734412899E2,-3.246336365E1,4.934318924E1,-5.548225403E1
1.734911519E2,-3.296009827E1,4.677539062E1,-5.675492859E1
1.735410149E2,-3.555672455E1,4.417551422E1,-5.797676086E1
1.735908774E2,-3.713917160E1,4.217192078E1,-5.917871094E1
1.736407404E2,-3.887087250E1,3.935194397E1,-5.958908081E1
1.736906024E2,-3.964463806E1,3.732643890E1,-6.073246765E1
1.737404654E2,-4.089136887E1,3.522927475E1,-6.193862915E1
1.737903274E2,-4.207616043E1,3.469858932E1,-6.199432373E1
1.738401894E2,-4.349229431E1,3.509355164E1,-6.086289978E1
1.738900524E2,-4.472734833E1,3.620809555E1,-5.977206421E1
1.739399144E2,-4.446144485E1,3.809510040E1,-5.821385193E1
1.739897774E2,-4.467831039E1,4.025998306E1,-5.700587463E1
1.740396394E2,-4.348426819E1,4.341986847E1,-5.617193604E1
1.740895024E2,-4.214598083E1,4.535670471E1,-5.503358459E1
1.741393644E2,-4.113766098E1,4.720040894E1,-5.420057678E1
1.741892274E2,-4.034077072E1,4.888583755E1,-5.368971252E1
1.742390894E2,-3.871551514E1,5.007851791E1,-5.380281067E1
1.742889524E2,-3.764430237E1,5.009656906E1,-5.369430542E1
1.743388144E2,-3.554551697E1,4.987147522E1,-5.313954163E1
1.743886774E2,-3.351431274E1,4.955742264E1,-5.352589417E1
1.744385394E2,-3.116617775E1,5.110891724E1,-5.318760681E1
1.744884014E2,-2.947946358E1,5.130505753E1,-5.183065796E1
1.745382644E2,-2.922436142E1,4.953133011E1,-5.204798889E1
1.745881266E2,-3.124372292E1,4.756919479E1,-5.122590637E1
1.746379896E2,-3.281854248E1,4.662617493E1,-4.977818298E1
1.746878516E2,-3.393836594E1,4.481933212E1,-4.900836182E1
1.747377146E2,-3.563575363E1,4.242683029E1,-4.761975098E1
1.747875766E2,-3.688627625E1,3.970771790E1,-4.522378540E1
1.748374396E2,-3.677678680E1,3.746365356E1,-4.508871460E1
1.748873016E2,-3.772452927E1,3.456666946E1,-4.481718445E1
1.749371646E2,-3.815954590E1,3.081661606E1,-4.399444580E1
1.749870266E2,-3.857921982E1,2.697288895E1,-4.378201294E1
1.750368896E2,-3.922645569E1,2.282094955E1,-4.331935120E1
1.750867516E2,-3.864996338E1,1.930892563E1,-4.366853333E1
1.751366136E2,-3.878079987E1,1.614707184E1,-4.309768677E1
1.751864766E2,-3.831238556E1,1.439445305E1,-4.147521973E1
1.752363386E2,-3.841615677E1,1.438994980E1,-3.923220825E1
1.752862016E2,-3.815063095E1,1.516919708E1,-3.838319397E1
1.753360636E2,-3.762525177E1,1.643224716E1,-3.592829895E1
1.753859266E2,-3.692064667E1,1.829696083E1,-3.360000610E1
1.754357886E2,-3.604985428E1,2.086432648E1,-3.175419617E1
1.754856516E2,-3.481938934E1,2.295796967E1,-2.936546326E1
1.755355136E2,-3.327854538E1,2.593606186E1,-2.863909912E1
1.755853757E2,-3.104697990E1,2.854311371E1,-2.771115112E1
1.756352377E2,-2.795949745E1,3.034566879E1,-2.682235718E1
1.756850997E2,-2.590621567E1,3.134935379E1,-2.728105164E1
1.757349627E2,-2.418303299E1,3.221775436E1,-2.670442200E1
1.757848247E2,-2.235478210E1,3.329770279E1,-2.684458923E1
1.758346877E2,-2.004167938E1,3.452454758E1,-2.699992371E1
1.758845497E2,-1.862492371E1,3.480372238E1,-2.625790405E1
1.759344127E2,-1.811611176E1,3.430197525E1,-2.651535034E1
1.759842747E2,-1.801299286E1,3.496622467E1,-2.700561523E1
1.760341377E2,-1.809779739E1,3.495489502E1,-2.648640442E1
1.760839997E2,-1.803678894E1,3.445282364E1,-2.455212402E1
1.761338627E2,-1.825716782E1,3.357095718E1,-2.412660217E1
1.761837247E2,-1.927701187E1,3.224797058E1,-2.355784607E1
1.762335867E2,-1.955741119E1,3.094590759E1,-2.213946533E1
1.762834497E2,-2.012982178E1,3.010894012E1,-2.198878479E1
1.763333117E2,-2.016075134E1,2.874900436E1,-2.140774536E1
1.763831747E2,-2.109792328E1,2.693768311E1,-2.147622681E1
1.764330367E2,-2.138335037E1,2.625020599E1,-2.200370789E1
1.764828997E2,-2.228963470E1,2.505386734E1,-2.121278381E1
1.765327617E2,-2.280524445E1,2.380175781E1,-2.018943787E1
1.765826247E2,-2.370516968E1,2.255160904E1,-2.102499390E1
1.766324876E2,-2.444996262E1,2.156384659E1,-1.936022949E1
1.766823496E2,-2.503765297E1,2.173078918E1,-1.772296143E1
1.767322126E2,-2.540612221E1,2.277491379E1,-1.677999878E1
1.767820746E2,-2.488446426E1,2.428773117E1,-1.439138794E1
1.768319376E2,-2.502638817E1,2.576559448E1,-1.390444946E1
1.768817996E2,-2.506298065E1,2.820278168E1,-1.355308533E1
1.769316626E2,-2.450519562E1,3.071359634E1,-1.134887695E1
1.769815246E2,-2.315957260E1,3.329416275E1,-1.021736145E1
1.770313876E2,-2.117910767E1,3.513277817E1,-1.051718140E1
1.770812496E2,-1.976551056E1,3.749177170E1,-1.084727478E1
1.771311126E2,-1.796775436E1,3.936068344E1,-1.259094238E1
1.771809746E2,-1.648709106E1,4.103137589E1,-1.350640869E1
1.772308366E2,-1.550906754E1,4.217837143E1,-1.343038940E1
1.772806996E2,-1.425046539E1,4.258681870E1,-1.506494141E1
1.773305616E2,-1.375763321E1,4.408996964E1,-1.608650208E1
1.773804246E2,-1.261442947E1,4.479113770E1,-1.664764404E1
1.774302866E2,-1.217785645E1,4.516539764E1,-1.674790955E1
1.774801496E2,-1.323854828E1,4.542164612E1,-1.718041992E1
1.775300116E2,-1.456493378E1,4.516047287E1,-1.669897461E1
1.775798746E2,-1.614682007E1,4.520435715E1,-1.724592590E1
1.776297359E2,-1.727238846E1,4.480308914E1,-1.699848938E1
1.776795989E2,-1.952397919E1,4.367320633E1,-1.642317200E1
1.777294609E2,-2.238029480E1,4.242880249E1,-1.758189392E1
1.777793239E2,-2.527233696E1,4.111856079E1,-1.837963867E1
1.778291859E2,-2.676959419E1,3.886784744E1,-1.935948181E1
1.778790479E2,-2.861120987E1,3.680016708E1,-2.181768799E1
1.779289109E2,-2.977222252E1,3.421409225E1,-2.305911255E1
