"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.695888208E0,7.579299062E-2,-3.555421233E-1,-1.304012630E-2
8.745751208E0,9.041082859E-2,-3.671315908E-1,4.115234688E-2
8.795614208E0,7.130929828E-2,-2.539202273E-1,9.201828390E-2
8.845477208E0,4.954447597E-2,-1.886071265E-1,8.284729719E-2
8.895340208E0,5.787482113E-2,-3.216944933E-1,8.018551767E-2
8.945203208E0,4.359883815E-2,-3.725715280E-1,1.171734408E-1
8.995066208E0,5.064155161E-2,-4.617018104E-1,1.443981826E-1
9.044929208E0,4.952240270E-3,-4.724295139E-1,1.581598967E-1
9.094792208E0,2.134318277E-2,-4.341884851E-1,1.144921631E-1
9.144655208E0,-2.859651111E-2,-4.897265434E-1,1.267383397E-1
9.194518208E0,9.468683973E-3,-4.396382272E-1,9.299183637E-2
9.244381208E0,-3.810187057E-2,-2.891882658E-1,1.041763946E-1
9.294244208E0,-4.129233584E-2,-2.980928123E-1,6.489476562E-2
9.344107208E0,3.746877238E-2,-2.505200803E-1,8.382304013E-2
9.393970208E0,-4.591012374E-2,-1.828165054E-1,5.280166492E-2
9.443832958E0,7.014434785E-3,-1.528319120E-1,5.842247978E-2
9.493695958E0,-4.289050773E-2,-1.423754543E-1,7.659156621E-2
9.543558958E0,-3.272696584E-2,-5.446784571E-2,6.288434565E-2
9.593421958E0,-5.030225031E-3,-1.172542125E-1,7.558660954E-2
9.643284958E0,-3.086526506E-2,-1.228780150E-1,6.737586111E-2
9.693147958E0,-2.302238718E-2,-3.880953416E-2,5.798950419E-2
9.743010958E0,-3.507386148E-2,-1.799945533E-1,4.714409634E-2
9.792873958E0,1.280909590E-2,-5.751440302E-3,7.226479053E-2
9.842736958E0,-1.291156840E-2,5.188031867E-2,3.979147226E-2
9.892599958E0,-2.591444924E-2,1.280514002E-1,1.968237758E-2
9.942462958E0,-5.762897432E-2,1.380882859E-1,7.571388036E-2
9.992325958E0,-2.507753856E-2,1.334186345E-1,4.191064835E-2
1.004218896E1,-1.020385325E-1,1.235392243E-1,-3.215077892E-2
1.009205196E1,-4.076781869E-2,3.978359699E-2,-2.523033414E-3
1.014191496E1,-3.431327268E-2,8.398067951E-2,-5.698467791E-2
1.019177796E1,3.406818956E-2,1.084788889E-1,3.975817934E-2
1.024164096E1,4.149069637E-2,5.154736340E-2,1.154238880E-1
1.029150396E1,1.770852134E-2,-8.654503524E-2,1.879045926E-2
1.034136696E1,2.696967497E-2,-1.690516919E-1,-6.363412738E-2
1.039122996E1,5.878641736E-3,-6.309186667E-2,-5.864617974E-2
1.044109283E1,-4.152251640E-4,-6.908077002E-2,-9.782132506E-2
1.049095583E1,1.958247274E-2,3.960244730E-2,-1.166677941E-2
1.054081883E1,-4.882122576E-2,3.324031830E-2,-5.397707224E-2
1.059068183E1,2.755450457E-2,1.110776961E-1,-7.454244047E-2
1.064054483E1,8.791825920E-2,1.037439853E-1,-2.648001313E-1
1.069040783E1,1.560660005E-1,-1.189169884E-1,-6.634178162E-1
1.074027083E1,4.088978767E-1,-1.119025573E-1,-8.564924598E-1
1.079013383E1,7.835207582E-1,-2.178926766E-1,-9.907217622E-1
1.083999683E1,3.905610442E-1,-4.237337038E-2,-9.190058112E-1
1.088985983E1,-7.073304057E-1,3.043120801E-1,-4.213646054E-1
1.093972283E1,-1.274399519E0,1.569162309E-1,-1.802944541E-1
1.098958583E1,-1.632577181E0,1.440210491E-1,-3.883516192E-1
1.103944883E1,5.253856257E-2,2.185414553E0,7.234254479E-1
1.108931183E1,-1.743471771E-1,-4.051267207E-1,3.997962475E-1
1.113917483E1,-7.862097621E-1,1.802652329E-1,5.706226826E-1
1.118903783E1,-4.394401014E-1,4.502349198E-1,3.492923975E-1
1.123890083E1,-1.806668639E-1,-2.017598897E-1,4.472360313E-1
1.128876383E1,-2.725860104E-4,7.321530581E-1,4.666042924E-1
1.133862683E1,3.864964470E-2,-3.247314095E-1,2.836039364E-1
1.138848983E1,-2.816921100E-2,-3.746197522E-1,3.879207969E-1
1.143835271E1,1.491740346E-2,7.200225443E-2,3.614365160E-1
1.148821571E1,1.320433766E-1,3.231221139E-1,3.394656256E-2
