"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.362983138E1,-3.802093506E-2,-1.006641678E1,3.296145630E-1
1.367969437E1,-1.451531525E0,-9.915829926E0,-1.329235840E-1
1.372955737E1,-2.785557404E0,-1.014859589E1,8.354127502E-1
1.377942037E1,2.157014465E0,-9.582173767E0,-1.035845947E0
1.382928338E1,1.466350708E0,-9.214837646E0,1.306183777E0
1.387914637E1,3.134182434E0,-8.346643066E0,-3.209625549E0
1.392900937E1,-1.449286194E0,-1.159833115E1,2.439177704E0
1.397887237E1,-4.175417175E0,-9.356443176E0,-9.868977356E-1
1.402873538E1,-1.829196167E-1,-9.007668457E0,-1.341210938E0
1.407859837E1,-9.017248535E-1,-1.021266266E1,-1.033899994E0
1.412846137E1,-1.876348114E0,-1.002375549E1,-1.085392914E0
1.417832437E1,-8.427474976E-2,-9.803563385E0,-1.984273682E0
1.422818738E1,3.227288818E-1,-9.054670715E0,-2.017354889E0
1.427805037E1,6.915618896E-1,-1.035486694E1,-1.437909851E0
1.432791237E1,-3.118016052E-1,-9.657467194E0,-1.294508057E0
1.437777538E1,-4.971162415E-1,-1.013721954E1,-6.081852722E-1
1.442763833E1,-2.195933533E-1,-1.038061340E1,-1.753753052E0
1.447750133E1,5.357359314E-1,-9.596992950E0,-8.957373047E-1
1.452736433E1,1.051114197E0,-9.987081757E0,1.431024170E-1
1.457722733E1,8.152047729E-1,-9.488019562E0,-8.985813904E-1
1.462709033E1,4.198768616E-1,-9.058862000E0,-1.510808258E0
1.467695333E1,1.477427673E-1,-9.832752686E0,-1.130598907E0
1.472681633E1,-3.215313721E-1,-8.939560089E0,-4.340972900E-1
1.477667933E1,1.224603424E0,-1.059841049E1,-1.823957062E0
1.482654233E1,-3.766168213E-1,-1.081456100E1,-7.882608032E-1
1.487640533E1,-1.608854370E0,-9.289083252E0,6.025569763E0
1.492626833E1,1.405726776E0,-1.022957748E1,-1.814676361E0
1.497613033E1,7.345225525E-1,-1.087428680E1,4.007167053E-1
1.502599333E1,-3.268752594E0,-1.372211472E1,2.445913696E-1
1.507585633E1,2.191143494E0,-8.955427094E0,1.165027313E0
1.512571933E1,-8.217910767E-2,-8.090525665E0,2.225122833E0
1.517558233E1,-6.023474121E-1,-7.585924988E0,1.439406738E0
1.522544533E1,2.725831604E-1,-8.785979462E0,2.644101562E0
1.527530833E1,2.456391907E0,-8.169860687E0,3.245700531E0
1.532517133E1,3.776796112E0,-8.470136261E0,4.373754730E0
1.537503433E1,2.977458344E0,-7.914641418E0,3.003055115E0
1.542489675E1,2.451152802E0,-8.350984039E0,3.700604553E0
1.547475975E1,-7.414082336E-1,-9.605525208E0,1.689686279E0
1.552462175E1,1.104702759E-1,-1.102397552E1,5.321434021E-1
1.557448475E1,-6.047424316E-1,-1.546015045E1,5.055886230E0
