"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.533075005E1,-5.380199909E0,2.830399990E0,-4.877560043E1
1.538075005E1,-5.148399830E0,7.393199921E0,-4.764099884E1
1.543075005E1,-4.733600140E0,1.259039974E1,-4.651860046E1
1.548075005E1,-4.367599964E0,1.761680031E1,-4.520100021E1
1.553075005E1,-4.062600136E0,2.203319931E1,-4.382239914E1
1.558075005E1,-3.794199944E0,2.558339882E1,-4.254140091E1
1.563075005E1,-3.659999847E0,2.815760040E1,-4.155319977E1
1.568075005E1,-3.781999826E0,2.947519875E1,-4.096759796E1
1.573075005E1,-4.343199730E0,2.973139954E1,-4.082119751E1
1.578075005E1,-5.233799934E0,2.884079933E1,-4.130920029E1
1.583075005E1,-6.185400009E0,2.677899933E1,-4.224860001E1
1.588075005E1,-6.953999996E0,2.377779961E1,-4.355400085E1
1.593075005E1,-7.368799686E0,2.004459953E1,-4.501799774E1
1.598075005E1,-7.588399887E0,1.568919945E1,-4.614039993E1
1.603075005E1,-7.332200050E0,1.099219990E1,-4.738479996E1
1.608075093E1,-6.966199875E0,6.246399879E0,-4.840959930E1
1.613075093E1,-6.514800072E0,1.805599928E0,-4.919039917E1
1.618075093E1,-5.965799809E0,-1.842199922E0,-4.934899902E1
1.623075093E1,-5.611999989E0,-4.160200119E0,-4.972719955E1
1.628075093E1,-5.343599796E0,-4.770199776E0,-4.977599716E1
1.633075093E1,-5.294799805E0,-3.794199944E0,-4.954420090E1
1.638075093E1,-5.441199780E0,-1.268800020E0,-4.847060013E1
1.643075093E1,-5.428999901E0,2.659600019E0,-4.765319824E1
1.648075093E1,-5.294799805E0,7.515199661E0,-4.659180069E1
1.653075093E1,-5.197199821E0,1.290759945E1,-4.524979782E1
1.658075093E1,-4.989799976E0,1.809259987E1,-4.422499847E1
1.663075093E1,-4.697000027E0,2.252120018E1,-4.277320099E1
1.668075093E1,-4.513999939E0,2.581519890E1,-4.160199738E1
1.673075093E1,-4.379799843E0,2.803559875E1,-4.082119751E1
1.678075093E1,-4.416399956E0,2.897500038E1,-4.034539795E1
1.683075093E1,-4.733600140E0,2.886520004E1,-4.032099915E1
1.688075093E1,-5.270400047E0,2.749880028E1,-4.088219833E1
1.693075093E1,-5.855999947E0,2.505879974E1,-4.193140030E1
1.698075093E1,-6.441599846E0,2.171599960E1,-4.301720047E1
1.703075093E1,-6.612400055E0,1.765340042E1,-4.444459915E1
1.708075093E1,-6.441599846E0,1.310279942E1,-4.578659821E1
1.713075093E1,-6.234200001E0,8.259399414E0,-4.687239838E1
1.718075093E1,-6.404999733E0,4.050399780E0,-4.808020020E1
1.723075093E1,-6.429399967E0,2.561999857E-1,-4.877560043E1
1.728075093E1,-6.466000080E0,-2.281399965E0,-4.928799820E1
1.733075093E1,-6.466000080E0,-3.440399885E0,-4.960519791E1
1.738075093E1,-6.600199699E0,-2.988999844E0,-4.945879745E1
1.743075093E1,-6.844199657E0,-8.295999765E-1,-4.908060074E1
