"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.893878435E0,1.944479585E0,7.530219555E-1,1.432436854E-1
8.944685050E0,2.106506824E0,5.580089688E-1,-1.020114943E-1
8.995492602E0,2.044353008E0,4.706578255E-1,-4.274403751E-1
9.046300831E0,1.241699815E0,-2.695363462E-1,-2.542651594E-1
9.097108331E0,4.051444530E-1,-4.648547769E-1,-1.910424829E-1
9.147914945E0,-1.435491070E-2,-1.756185889E-1,-2.067717910E-1
9.198722498E0,-5.537330508E-1,-1.145338640E-2,5.955760926E-2
9.249530779E0,-1.369825006E0,-4.321744293E-2,2.959555089E-1
9.300338227E0,-1.896680713E0,-3.741439581E-1,3.539859951E-1
9.351144841E0,-2.207907438E0,-3.455868363E-1,6.032116413E-1
9.401952393E0,-2.158123255E0,1.466033459E-1,6.852179170E-1
9.452760623E0,-1.958834410E0,4.132381678E-1,6.981984377E-1
9.503568123E0,-1.787339091E0,5.815265775E-1,7.015580535E-1
9.554374737E0,-1.749161124E0,3.807105422E-1,3.448232710E-1
9.605182289E0,-1.681204319E0,-5.711421743E-2,-2.351761982E-2
9.655990518E0,-1.071120620E0,-1.149920002E-1,-6.612421572E-2
9.706798018E0,-3.008422814E-2,-1.068982668E-2,-3.787252903E-1
9.757604633E0,5.940489769E-1,2.977880463E-2,-3.970507085E-1
9.808412185E0,6.108472347E-1,-5.882459283E-1,-2.593046725E-1
9.859220414E0,7.241594195E-1,-2.176143378E-1,-4.337015375E-2
9.910027914E0,9.594883323E-1,7.941014133E-3,-7.681404054E-2
9.960834529E0,1.483595252E0,-1.088835239E0,-4.825693369E-2
1.001164203E1,1.592784286E0,-4.781406820E-1,1.627907902E-1
1.006245031E1,1.358218908E0,1.163664013E-1,-1.898207814E-1
1.011325776E1,1.513374090E0,4.578300118E-1,-2.953446507E-1
1.016406437E1,1.879118919E0,3.179459870E-1,-2.782409191E-1
1.021487192E1,2.195843220E0,6.400152445E-1,-3.587200642E-1
1.026568015E1,2.150945902E0,4.103366435E-1,-3.851391971E-1
1.031648760E1,1.483442545E0,2.619007528E-1,-4.060607255E-1
1.036729427E1,5.519005060E-1,-1.853921413E-1,-3.249707520E-1
1.041810177E1,-2.498365343E-1,-5.833591148E-2,-1.991362125E-1
1.046891000E1,-8.266290426E-1,-3.985778242E-2,-1.238492802E-1
1.051971745E1,-1.455038190E0,-1.330119967E-1,2.318165302E-1
1.057052406E1,-1.899276853E0,-4.156815708E-1,3.614688516E-1
1.062133156E1,-2.197828531E0,-4.023956358E-1,6.070294380E-1
1.067213979E1,-2.205005884E0,4.917320609E-2,8.183826208E-1
1.072294724E1,-1.938065648E0,3.939964771E-1,1.051573515E0
1.077375380E1,-1.873773932E0,3.956763148E-1,6.731536984E-1
