"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.322747742E2,2.078764677E0,-1.366840076E1,-2.487040043E0
1.323247742E2,2.988336325E0,3.571287870E0,-1.438385487E0
1.323747742E2,-5.189733028E0,3.825525343E-1,-5.352744102E0
1.324247742E2,-5.309673309E0,3.918546200E0,-6.430112839E0
1.324747742E2,7.474579811E-1,4.383052826E0,1.199013519E1
1.325247742E2,-1.213161111E0,-2.406581402E0,-1.058614635E1
1.325747742E2,-7.800601721E-1,-7.429415226E0,-3.375076294E0
1.326247742E2,6.509973049E0,-3.654647827E1,-9.561420441E0
1.326747742E2,2.251466560E1,-3.122214890E1,-8.972486496E0
1.327247742E2,3.616811371E1,-9.340084076E0,4.511487579E1
1.327747742E2,1.262213945E0,-4.575675011E0,1.033101177E1
1.328247742E2,2.916551590E0,7.523931503E0,1.750140381E1
1.328747742E2,5.147858620E0,-1.963610053E0,-1.214357466E-1
1.329247742E2,1.537687659E0,3.851547241E0,5.150251865E0
1.329747742E2,3.527020693E0,-8.865407705E-1,3.419343472E0
1.330247742E2,2.101107597E1,-2.972813034E1,1.175563812E1
1.330747742E2,1.293829155E1,-5.903422546E1,2.330011129E0
1.331247742E2,7.809575200E-1,-1.043180943E1,-3.207578659E0
1.331747742E2,1.738684773E0,5.295017242E0,-1.004985452E0
1.332247742E2,-4.373481750E0,3.777668774E-1,-6.964011192E0
1.332747742E2,-3.937688828E0,3.068495989E0,-3.806083441E0
1.333247742E2,-4.088735580E-1,2.166102648E0,2.272583246E0
1.333747742E2,-1.933998942E0,-1.671685696E0,-1.422533035E1
1.334247742E2,-2.326421738E0,-6.172585011E0,-4.098307133E0
1.334747742E2,5.961717606E0,-3.612025452E1,-8.833703041E0
1.335247742E2,2.366621208E1,-3.389612579E1,-7.861618996E0
1.335747742E2,2.594537544E1,-7.319345474E0,1.949582100E1
1.336247742E2,2.303091735E-1,-4.199702740E0,7.166204929E0
1.336747742E2,5.535795212E0,8.206484795E0,1.303878975E1
1.337247742E2,6.033801556E0,-3.040978432E0,9.870393574E-2
1.337747742E2,2.923730135E0,3.789333820E0,5.296213627E0
1.338247742E2,5.717649937E0,-9.774680734E-1,2.777767897E0
1.338747742E2,2.408046913E1,-2.895255661E1,8.597710609E0
1.339247742E2,1.271067429E1,-5.929055405E1,-6.457630396E-1
1.339747742E2,2.217548370E0,-1.079791164E1,-2.812463999E0
1.340247742E2,2.234298229E0,3.231507063E0,-1.931606054E0
1.340747742E2,-4.127020836E0,5.572285652E-1,-8.144270897E0
1.341247742E2,-5.692524910E0,4.866702080E0,-3.652942896E0
1.341747742E2,3.728017569E0,-3.361915827E0,3.085096169E1
1.342247742E2,-2.118246317E0,-8.650053740E-1,-1.199880886E1
1.342747742E2,-1.696810365E0,-7.429415226E0,-5.182554722E0
1.343247742E2,1.131505966E1,-3.303441238E1,-1.286291695E1
1.343747742E2,2.733171844E1,-3.670201111E1,4.148556292E-1
1.344247742E2,2.363749886E1,-1.360858059E1,6.664279938E1
1.344747742E2,3.692125320E0,-2.722733021E0,-3.276970625E0
1.345247742E2,6.050550938E0,8.488837242E0,9.069396019E0
1.345747742E2,5.379962444E0,-1.016949583E-2,-1.471885085E0
1.346247742E2,7.716853172E-2,2.218744755E0,6.632306099E0
1.346747742E2,5.212464809E0,-2.847159863E0,1.700399637E0
1.347247742E2,2.061626053E1,-3.719762421E1,1.645274925E1
1.347747742E2,1.069023418E1,-4.428665924E1,6.895516872E0
1.348247742E2,1.482353687E0,-7.106384277E0,-3.011367321E0
1.348747742E2,2.813660383E0,4.404588223E0,-9.499505758E-1
1.349247742E2,-4.845166683E0,-1.034895778E-1,-4.119842529E0
1.349747742E2,-3.971188307E0,4.119543076E0,-3.925724745E0
1.350247742E2,8.695816994E0,4.296911240E0,3.319712448E1
1.350747742E2,1.554437399E0,-1.178465188E-1,-6.777071953E0
1.351247742E2,-2.118246317E0,-1.921556282E1,-5.848357677E0
1.351747742E2,8.456534386E0,-3.288127136E1,-3.183650494E0
1.352247742E2,1.773590088E1,-2.591426849E1,-1.061725330E1
1.352747742E2,2.479861641E1,-6.225227356E0,4.003491402E0
1.353247742E2,-3.945166469E-1,-1.848754644E0,6.562615395E0
1.353747742E2,6.838088989E0,4.792524815E0,4.980361462E0
1.354247742E2,6.256333828E0,1.665703654E0,-7.872386575E-1
1.354747742E2,-2.572284266E-2,1.660917997E0,4.348356724E0
1.355247742E2,9.763613701E0,-8.085348129E0,-1.984248161E0
1.355747742E2,2.427907372E1,-4.013301849E1,6.050550938E0
1.356247742E2,8.513961792E0,-3.990540314E1,3.273381472E0
1.356747742E2,1.336391449E0,-7.108777046E0,-4.265804768E0
