"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
8.496072082E0,-1.673839951E1,3.929619980E1,-2.039839935E1
8.546072082E0,-1.539639950E1,3.630719757E1,-2.508320045E1
8.596072082E0,-1.434719944E1,3.401359940E1,-3.026819992E1
8.646072082E0,-1.356639957E1,3.230559921E1,-3.412339783E1
8.696072082E0,-1.332240009E1,3.039019966E1,-3.681959915E1
8.746072082E0,-1.455459976E1,2.865779877E1,-3.792979813E1
8.796072082E0,-1.639679909E1,2.816979980E1,-3.718560028E1
8.846072082E0,-1.664080048E1,2.990219879E1,-3.485540009E1
8.896072082E0,-1.671399879E1,3.270819855E1,-3.051219940E1
8.946072082E0,-1.776319885E1,3.523360062E1,-2.504660034E1
8.996072082E0,-1.926379967E1,3.730759811E1,-1.888559914E1
9.046072082E0,-2.044719887E1,3.885699844E1,-1.395679951E1
9.096072082E0,-2.152079964E1,4.076020050E1,-9.821000099E0
9.146072082E0,-2.126459885E1,4.305379868E1,-7.588399887E0
9.196072082E0,-1.975180054E1,4.412739944E1,-7.490799904E0
9.246072082E0,-1.871479988E1,4.288299942E1,-9.796599388E0
9.296072082E0,-1.812919998E1,4.011359787E1,-1.443260002E1
9.346072082E0,-1.744599915E1,3.734420013E1,-2.104500008E1
9.396072082E0,-1.506699944E1,3.520919800E1,-2.747439957E1
9.446072082E0,-1.246840000E1,3.374520111E1,-3.289120102E1
9.496072082E0,-1.077260017E1,3.248859787E1,-3.674639893E1
9.546072082E0,-1.111419964E1,3.003639984E1,-3.913759995E1
9.596072082E0,-1.233419991E1,2.785260010E1,-4.040639877E1
9.646072082E0,-1.387139988E1,2.795019913E1,-3.925959778E1
9.696072082E0,-1.487179947E1,3.029259872E1,-3.551419830E1
9.746072082E0,-1.675059891E1,3.230559921E1,-2.938979912E1
9.796072082E0,-1.921500015E1,3.442839813E1,-2.347279930E1
9.846072082E0,-2.161839867E1,3.598999786E1,-1.792179871E1
9.896072082E0,-2.302140045E1,3.746619797E1,-1.337119961E1
9.946072082E0,-2.418039894E1,4.025999832E1,-9.406199455E0
9.996072082E0,-2.396080017E1,4.246820068E1,-7.344399929E0
1.004607208E1,-2.363139915E1,4.256579971E1,-7.600599766E0
1.009607208E1,-2.410719872E1,3.999160004E1,-1.052859974E1
1.014607208E1,-2.470499992E1,3.731979752E1,-1.546959972E1
1.019607208E1,-2.490019989E1,3.445280075E1,-2.063019943E1
1.024607208E1,-2.521739960E1,3.217139816E1,-2.549799919E1
1.029607208E1,-2.527840042E1,3.036579895E1,-2.948740005E1
1.034607208E1,-2.499779892E1,2.816979980E1,-3.304980087E1
1.039607208E1,-2.632759857E1,2.593719864E1,-3.402579880E1
1.044607208E1,-2.802339935E1,2.449759865E1,-3.346459961E1
1.049607208E1,-2.857239914E1,2.608359909E1,-3.096360016E1
1.054607208E1,-3.036579895E1,2.946299934E1,-2.696199989E1
1.059607208E1,-3.081719971E1,3.203720093E1,-2.197220039E1
1.064607208E1,-3.106119919E1,3.409899902E1,-1.716539955E1
1.069607208E1,-3.132959938E1,3.580699921E1,-1.288319969E1
1.074607208E1,-3.156139946E1,3.697819901E1,-8.637599945E0
1.079607208E1,-3.079279900E1,3.939379883E1,-6.417200089E0
1.084607208E1,-2.971920013E1,4.101639938E1,-6.099999905E0
1.089607208E1,-2.973139954E1,3.946699905E1,-7.868999958E0
1.094607208E1,-3.002419853E1,3.598999786E1,-1.133379936E1
1.099607208E1,-3.079279900E1,3.273260117E1,-1.540859985E1
1.104607208E1,-3.213479996E1,2.948740005E1,-1.905640030E1
1.109607208E1,-3.334259796E1,2.726700020E1,-2.198439980E1
1.114607208E1,-3.411119843E1,2.529059982E1,-2.471719933E1
1.119607208E1,-3.539220047E1,2.309459877E1,-2.613239861E1
1.124607208E1,-3.613639832E1,2.191119957E1,-2.654719925E1
1.129607198E1,-3.568499756E1,2.296039963E1,-2.612019920E1
1.134607198E1,-3.431859970E1,2.614459991E1,-2.446100044E1
1.139607198E1,-3.285459900E1,2.974359894E1,-2.113039970E1
1.144607198E1,-3.092700005E1,3.322060013E1,-1.837319946E1
1.149607198E1,-2.934099960E1,3.561180115E1,-1.575019932E1
1.154607198E1,-2.841379929E1,3.723439789E1,-1.344439983E1
1.159607198E1,-2.696199989E1,3.957679749E1,-1.187059975E1
1.164607198E1,-2.535159874E1,4.144339752E1,-1.124839973E1
1.169607198E1,-2.359479904E1,4.218759918E1,-1.183399963E1
1.174607198E1,-2.256999969E1,3.962559891E1,-1.448139954E1
1.179607198E1,-2.161839867E1,3.674639893E1,-1.948340034E1
1.184607198E1,-2.060579872E1,3.386719894E1,-2.463179970E1
1.189607198E1,-1.944680023E1,3.137839890E1,-2.978019905E1
1.194607198E1,-1.878800011E1,2.963379860E1,-3.417219925E1
1.199607198E1,-1.784860039E1,2.791359901E1,-3.740520096E1
1.204607198E1,-1.776319885E1,2.629100037E1,-3.928400040E1
1.209607198E1,-1.893440056E1,2.466839981E1,-3.988179779E1
1.214607198E1,-2.027639961E1,2.532719994E1,-3.895459747E1
1.219607198E1,-2.115480042E1,2.737679863E1,-3.590459824E1
1.224607198E1,-2.230159950E1,3.007299995E1,-3.078059959E1
1.229607198E1,-2.332639885E1,3.248859787E1,-2.557119942E1
1.234607198E1,-2.385099983E1,3.480659866E1,-2.058139992E1
1.239607198E1,-2.461960030E1,3.669759750E1,-1.599419975E1
1.244607198E1,-2.497340012E1,3.869839859E1,-1.235859966E1
1.249607198E1,-2.442440033E1,4.076020050E1,-1.034560013E1
1.254607198E1,-2.289939880E1,4.108959961E1,-1.000399971E1
1.259607198E1,-2.145979881E1,3.985739899E1,-1.249279976E1
1.264607198E1,-2.030080032E1,3.725880051E1,-1.742160034E1
1.269607198E1,-1.949559975E1,3.434299850E1,-2.280179977E1
