"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.830585573E2,4.865520477E0,6.664858341E0,2.017420292E0
1.831085573E2,1.400523901E0,1.163786316E1,1.050746536E1
1.831585573E2,4.087292671E0,3.491633892E0,1.947818041E0
1.832085573E2,1.930618095E1,-3.178759384E1,1.056940460E1
1.832585573E2,1.071706295E0,-3.732302475E1,1.233928442E0
1.833085573E2,-5.210287094E0,2.845807552E0,-7.915367126E0
1.833585573E2,-2.276197672E0,1.273833466E1,-8.271183014E0
1.834085573E2,-6.727479458E0,1.372400475E1,-1.585440254E1
1.834585573E2,-4.879030228E0,1.319004536E1,-6.078225136E0
1.835085573E2,1.332846642E0,-1.171374798E0,1.998806190E1
1.835585573E2,-7.660081863E0,8.079216957E0,-1.163140106E1
1.836085573E2,-1.171091080E1,-2.313125038E1,-1.133272266E1
1.836585573E2,9.701143265E0,-2.563343430E1,-5.347960472E0
1.837085573E2,2.363378143E1,-2.285960770E1,-1.544431686E1
1.837585573E2,1.040192318E1,1.657349586E0,2.328701973E0
1.838085573E2,-5.121949196E0,1.172124195E1,1.450344753E1
1.838585573E2,5.324508190E0,5.460305214E0,3.950954914E0
1.839085573E2,-3.451881409E-1,1.100500870E1,4.388908386E0
1.839585573E2,1.111823082E0,1.080220032E1,3.587880850E0
1.840085573E2,1.348730755E1,-8.437952995E0,2.615130663E0
1.840585573E2,1.028373528E1,-5.224728394E1,-6.020844460E0
1.841085573E2,-4.789240360E0,-1.205828190E1,-4.666393280E0
1.841585573E2,-4.584605217E0,1.058373833E1,-4.197272301E0
1.842085573E2,-9.067481995E0,8.307386398E0,-9.523651123E0
1.842585573E2,-6.864564896E0,1.294928169E1,-8.706422806E0
1.843085573E2,-4.729227066E0,1.132867050E1,-2.088384151E0
1.843585573E2,-5.992208958E0,7.721666336E0,-1.811651421E1
1.844085573E2,-8.861936569E0,-2.671423912E0,-6.425004005E0
1.844585573E2,2.032994747E0,-2.976462936E1,-7.125777245E0
1.845085573E2,2.356798172E1,-2.076601791E1,-1.851353645E1
1.845585573E2,1.993256187E1,4.285582542E0,3.148303986E1
1.846085573E2,1.346860886E0,6.899208546E0,3.038311720E0
1.846585573E2,5.572935104E0,1.236953926E1,4.792041779E0
1.847085573E2,3.166829824E0,1.070937443E1,1.984106660E0
1.847585573E2,-5.140210390E-1,9.772942543E0,7.039716721E0
1.848085573E2,1.208700180E1,-5.541954041E0,-4.432560205E-1
1.848585573E2,1.532002735E1,-4.235891724E1,-1.423581123E0
1.849085573E2,-2.809039116E0,-2.503704071E1,-3.151176214E0
1.849585573E2,-6.698216915E0,6.362400532E0,-7.725466728E0
1.850085573E2,-5.640038013E0,1.213989258E1,-6.346336365E0
1.850585573E2,-7.228603840E0,1.305466080E1,-8.046216965E0
1.851085573E2,-2.838768005E0,1.072340965E1,-4.864279747E0
1.851585573E2,2.555195808E0,2.776940823E0,6.004245758E0
1.852085573E2,-1.246527481E1,3.907824039E0,7.142822742E0
1.852585573E2,-3.210636854E0,-3.845238495E1,-1.413351250E1
1.853085573E2,1.007410431E1,-1.990556717E1,3.912454128E0
1.853585573E2,3.015959930E1,-1.631166840E1,5.983601761E1
1.854085573E2,1.951714635E0,1.449423790E0,6.985705376E0
1.854585573E2,-3.376209259E0,1.621404839E1,1.988936615E1
1.855085573E2,5.606712341E0,4.955579281E0,3.501757383E0
1.855585573E2,-1.632635593E-1,1.203837585E1,1.032325745E1
1.856085573E2,3.686686277E0,6.012550354E0,2.933288574E0
1.856585573E2,1.927298355E1,-2.213124466E1,8.551946640E0
1.857085573E2,2.867762089E0,-3.842029190E1,4.902338982E-1
1.857585573E2,-6.599183559E0,-2.384789944E0,-9.587516785E0
1.858085573E2,-1.611172676E0,1.348808479E1,-6.491217613E0
1.858585573E2,-7.572940826E0,1.257355309E1,-1.505202103E1
1.859085573E2,-6.103737831E0,1.242468262E1,-5.722320557E0
1.859585573E2,2.311783552E0,2.342572689E0,2.642645073E1
1.860085573E2,-7.272235394E0,5.739810944E0,-1.174455261E1
1.860585573E2,-1.412281418E1,-2.728684616E1,-1.289468002E1
1.861085573E2,8.299762726E0,-2.158949471E1,-5.195858002E0
1.861585573E2,2.498311806E1,-2.104446793E1,-1.136601162E1
1.862085573E2,7.845979214E0,8.572559357E-1,-1.333286762E-1
1.862585573E2,-6.115220547E0,1.252220440E1,1.195503521E1
1.863085573E2,4.729611397E0,6.988755703E0,3.716457844E0
1.863585573E2,3.249690771E0,1.205619526E1,8.738807678E0
1.864085573E2,1.773329616E0,7.663632870E0,3.778401613E0
1.864585573E2,1.742815590E1,-1.846346664E1,9.342298508E0
1.865085573E2,7.727102280E0,-5.250327301E1,-5.640064240E0
1.865585573E2,-7.055480480E0,-7.683647633E0,-8.723943710E0
1.866085573E2,-3.442522049E0,1.198515224E1,-6.163696289E0
1.866585573E2,-7.313809395E0,1.147501564E1,-1.545093155E1
1.867085573E2,-5.768895626E0,1.304273891E1,-7.651784897E0
1.867585573E2,-1.797495604E0,1.454864502E0,2.859359932E1
1.868085573E2,-6.646821976E0,7.364566326E0,-1.728888130E1
1.868585573E2,-1.102190399E1,-7.421706676E0,-1.191856289E1
1.869085573E2,4.443165779E0,-2.448674393E1,-7.908041000E0
1.869585573E2,2.853069687E1,-2.582729530E1,-2.047250557E1
1.870085573E2,1.374238205E1,3.661276340E0,1.808921814E1
1.870585573E2,-1.019943833E0,9.617950439E0,1.228599548E0
1.871085573E2,6.338769913E0,9.980185509E0,2.930738211E0
1.871585573E2,2.612940788E0,1.247234249E1,2.876038313E0
1.872085573E2,1.437642455E0,9.412710190E0,4.638612747E0
1.872585573E2,1.308740139E1,-9.717688560E0,4.271875381E0
1.873085573E2,1.027659416E1,-6.076438141E1,-1.262360096E1
1.873585573E2,-7.021801949E0,-9.562723160E0,-5.387932777E0
1.874085573E2,-4.105177879E0,1.092870903E1,-6.311524391E0
1.874585573E2,-7.527405739E0,1.080524635E1,-7.742302895E0
1.875085573E2,-6.600856781E0,1.298310947E1,-7.492879868E0
1.875585573E2,-3.967087507E0,1.135758209E1,-2.779529095E-1
1.876085573E2,-7.154231071E0,5.966196060E0,-1.871910477E1
1.876585573E2,-1.299775887E1,-8.501384735E0,-5.958358765E0
1.877085573E2,3.439436436E0,-2.963683701E1,-2.202351332E0
1.877585573E2,2.793069458E1,-2.224866295E1,-1.408325291E1
1.878085573E2,1.300294113E1,5.957685471E0,1.017463303E1
1.878585573E2,-5.776587486E0,9.436291695E0,3.838093281E0
1.879085573E2,6.123596191E0,1.009654903E1,3.129866362E0
1.879585573E2,2.721155643E0,1.042328167E1,-1.203564644E0
1.880085573E2,3.519563675E0,1.110765839E1,6.462659836E0
1.880585573E2,1.212638950E1,-1.682868958E0,-1.926872492E0
1.881085573E2,1.391502762E1,-5.168223953E1,-8.409067392E-1
1.881585573E2,-3.783650160E0,-2.047481346E1,-5.102334976E0
1.882085573E2,-6.715555668E0,6.053786755E0,-6.889120102E0
1.882585573E2,-6.884161472E0,1.239308739E1,-9.585138321E0
1.883085573E2,-9.655046463E0,1.299496078E1,-4.690832615E0
1.883585573E2,-3.567765713E0,1.140496254E1,-3.038693428E0
1.884085573E2,7.998948097E-1,1.141591072E-1,-1.983506918E0
1.884585573E2,-7.397755146E0,2.820005417E0,-5.253142357E0
1.885085573E2,-1.104648876E1,-3.468748474E1,-1.611584854E1
1.885585573E2,8.202758789E0,-1.832021141E1,4.734297276E0
1.886085573E2,2.965813255E1,-1.598246670E1,-2.366426468E0
1.886585573E2,4.305808067E0,1.431471825E0,1.468907738E1
1.887085573E2,-1.204108119E0,1.466502380E1,1.864316368E1
1.887585573E2,6.678274632E0,5.199819565E0,2.659109116E0
1.888085573E2,7.030376196E-1,1.283899689E1,2.275909901E0
1.888585573E2,1.497521162E0,1.152211285E1,5.340457916E0
1.889085573E2,1.343016529E1,-1.310136032E1,6.542682648E0
1.889585573E2,1.055203438E1,-5.719293213E1,-1.039648056E1
1.890085573E2,-6.846940994E0,-8.565725327E0,-6.065402031E0
1.890585573E2,-5.330153942E0,1.029861641E1,-7.710978508E0
1.891085573E2,-7.835098743E0,1.089411926E1,-1.434498787E1
1.891585573E2,-9.214683533E0,1.232275295E1,-3.241549015E0
1.892085573E2,2.402096748E0,8.241103172E0,2.905434227E1
1.892585573E2,-5.751246452E0,5.679012775E0,-1.511291695E1
1.893085573E2,-1.057523346E1,-7.351705074E0,-9.278631210E0
1.893585573E2,2.848423004E0,-2.516706085E1,-1.894953966E0
1.894085573E2,1.933075523E1,-2.104461479E1,-1.076410007E1
1.894585573E2,1.375744247E1,4.109333038E0,1.025076103E1
1.895085573E2,-2.107225895E0,7.619624615E0,3.348452091E0
1.895585573E2,8.929928780E0,9.129823685E0,6.602562904E0
1.896085573E2,4.335738182E0,1.228713322E1,6.196511269E0
