Time window,Time (s)_acc,Time (s)_gyro,Time (s)_mag,Time (s)_lin_acc,Time (s)_prox,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Distance (cm)
365.37,365.37257999999997,365.3987303,,,,-4.392624378,-9.74447155,18.62184334,0.2348707765,0.9347490072,-0.2903051674,,,,,,,
365.4,365.42258,,365.4184527,365.4112033,,-1.0887342690000001,-17.19751549,10.886446,,,,11.19960022,52.75279999,0.08540000021,-4.4298295969999995,-22.43585968,9.867353439,
365.43,,365.4495355,,,,,,,1.4049487109999999,1.83116734,-0.4642439187,,,,,,,
365.46,365.47258,,365.4684527,365.4612033,,-3.020938635,-0.36699917909999996,3.66101861,,,,10.45539951,53.30179977,-2.183799982,-2.551612854,8.70557785,-0.44837236399999997,
365.49,,365.50034,365.51845269999995,365.51120330000003,,,,,-0.8269344568000001,-1.849034667,0.035734564069999995,9.662400246,53.59460068,-3.58679986,-2.333344221,-9.441111565,-11.16778755,
365.52,365.52258,,,,,-4.8834519389999995,-18.60030746,-8.251948357,,,,,,,,,,
365.55,365.57257999999996,365.5511452,365.56845269999997,365.56120330000005,,-1.955534339,-6.2850480079999995,-3.5787653919999998,-0.6384881139,-2.278307676,0.4871506989,9.186599731,54.19239807,-3.806399822,-2.0056433680000003,0.6324987411,-9.782197952,
365.58,,365.60195130000005,,,,,,,-3.058665037,-2.518065214,0.062000997360000004,,,,,,,
365.61,365.62257999999997,,365.6184527,365.61120330000006,,3.031407118,-11.44187927,-4.194019794,,,,8.320400238,54.32659912,-2.696199894,2.869137049,1.6305847169999999,-10.67461777,
365.64,,365.6527565,365.6684527,365.6612033,,,,,-2.269450188,-1.891793966,0.20280128719999999,7.551799774,54.38759995,-0.329400003,5.543654919,-5.58425045,0.10339713099999999,
365.66999999999996,365.67258,,,,,6.3113689420000005,-12.22253799,0.48424747590000006,,,,,,,,,,
365.7,365.72258,365.703561,365.7184527,365.7112033,,-0.6936194897,-5.985944748,3.414557934,-2.939855099,-0.00900999736,-1.012784719,6.673399925,54.13139725,2.842599869,2.123699427,3.43602705,2.01274991,
