"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.590352156E1,6.697799683E0,4.007699966E1,-3.573379898E1
1.595352156E1,4.306600094E0,4.188259888E1,-3.283020020E1
1.600352156E1,1.402999997E0,4.407859802E1,-2.941419983E1
1.605352156E1,-1.451799989E0,4.661619949E1,-2.516860008E1
1.610352156E1,-3.794199944E0,4.922699738E1,-2.037400055E1
1.615352156E1,-5.758399963E0,5.095940018E1,-1.562819958E1
1.620352156E1,-7.295599937E0,5.239899826E1,-1.215119934E1
1.625352156E1,-8.527799606E0,5.288699722E1,-1.088239956E1
1.630352156E1,-9.174399376E0,5.247219849E1,-1.159000015E1
1.635352156E1,-8.491199493E0,5.099599838E1,-1.384700012E1
1.640352156E1,-7.551799774E0,4.911719894E1,-1.718980026E1
1.645352156E1,-5.941400051E0,4.625019836E1,-2.192339897E1
1.650352156E1,-3.842999935E0,4.305379868E1,-2.718159866E1
1.655352156E1,-1.512799978E0,4.011359787E1,-3.262279892E1
1.660352156E1,9.271999598E-1,3.774679947E1,-3.679520035E1
1.665352156E1,3.647799969E0,3.555080032E1,-3.974760056E1
1.670352156E1,6.417200089E0,3.379399872E1,-4.156539917E1
1.675352156E1,8.161799431E0,3.278139877E1,-4.234619904E1
1.680352156E1,9.394000053E0,3.278139877E1,-4.224860001E1
1.685352156E1,9.223199844E0,3.424539948E1,-4.086999893E1
1.690352156E1,8.332599640E0,3.641699982E1,-3.864960098E1
1.695352156E1,6.697799683E0,3.812500000E1,-3.552639771E1
1.700352156E1,4.538399696E0,4.016239929E1,-3.259840012E1
1.705352156E1,1.939799905E0,4.249259949E1,-2.910919952E1
1.710352156E1,-5.978000164E-1,4.509119797E1,-2.474160004E1
1.715352156E1,-3.037799835E0,4.773859787E1,-2.011779976E1
1.720352156E1,-4.757999897E0,4.975159836E1,-1.577460003E1
1.725352156E1,-5.977999687E0,5.100819778E1,-1.274899960E1
1.730352156E1,-7.063799858E0,5.138639832E1,-1.191940022E1
1.735352156E1,-7.417599678E0,5.083739853E1,-1.294419956E1
1.740352156E1,-6.758800030E0,4.937339783E1,-1.516459942E1
1.745352156E1,-5.721799850E0,4.722620010E1,-1.865379906E1
1.750352156E1,-4.306600094E0,4.427379990E1,-2.343619919E1
1.755352156E1,-2.586400032E0,4.154100037E1,-2.936540031E1
1.760352156E1,-1.586000025E-1,3.875939941E1,-3.409899902E1
1.765352156E1,2.171599865E0,3.647800064E1,-3.781999969E1
1.770352156E1,4.782400131E0,3.435519791E1,-4.016239929E1
1.775352156E1,7.210199833E0,3.276919937E1,-4.158979797E1
1.780352156E1,8.588799477E0,3.186639977E1,-4.229739761E1
1.785352156E1,9.284199715E0,3.231779861E1,-4.179719925E1
1.790352156E1,9.076799393E0,3.400139999E1,-4.010139847E1
1.795352156E1,7.978799820E0,3.646579742E1,-3.728319931E1
1.800352156E1,5.929199696E0,3.882040024E1,-3.435519791E1
1.805352156E1,3.537999868E0,4.096759796E1,-3.113439941E1
1.810352156E1,7.929999828E-1,4.351739883E1,-2.726700020E1
1.815352156E1,-1.012599945E0,4.657959747E1,-2.276519966E1
1.820352156E1,-2.879199982E0,4.905619812E1,-1.792179871E1
1.825352156E1,-4.416399956E0,5.092279816E1,-1.376159954E1
1.830352156E1,-5.636399746E0,5.192319870E1,-1.160219955E1
1.835352156E1,-6.587999821E0,5.191099930E1,-1.156559944E1
1.840352156E1,-6.624599934E0,5.102039719E1,-1.316379929E1
1.845352156E1,-5.941400051E0,4.938559723E1,-1.615279961E1
1.850352156E1,-4.782400131E0,4.692119980E1,-2.032519913E1
1.855352156E1,-2.964599848E0,4.326119995E1,-2.519299889E1
1.860352156E1,-7.929999828E-1,4.013800049E1,-3.041459846E1
1.865352156E1,1.439599991E0,3.764920044E1,-3.496519852E1
1.870352156E1,3.842999935E0,3.546540070E1,-3.814939880E1
1.875352156E1,6.319600105E0,3.344020081E1,-4.034539795E1
1.880352156E1,8.112999916E0,3.202499771E1,-4.171179962E1
1.885352156E1,9.088999748E0,3.174440002E1,-4.195579910E1
1.890352156E1,8.869400024E0,3.281800079E1,-4.082119751E1
1.895352156E1,7.368799686E0,3.503839874E1,-3.838119888E1
1.900352156E1,5.477799892E0,3.758819962E1,-3.550199890E1
1.905352156E1,2.988999844E0,3.975979996E1,-3.237879944E1
1.910352156E1,1.708000004E-1,4.199239731E1,-2.873099899E1
1.915352156E1,-3.184200048E0,4.409079742E1,-2.388759995E1
1.920352156E1,-5.441199780E0,4.676259995E1,-1.884899902E1
1.925352156E1,-7.283400059E0,4.892200089E1,-1.407880020E1
1.930352156E1,-8.503399849E0,5.025180054E1,-1.088239956E1
1.935352156E1,-9.637999535E0,5.067879868E1,-9.772199631E0
1.940352156E1,-1.027239990E1,5.023959732E1,-1.049199963E1
1.945352156E1,-9.845399857E0,4.908060074E1,-1.278559971E1
1.950352156E1,-8.808400154E0,4.715299988E1,-1.646999931E1
1.955352156E1,-7.381000042E0,4.451779938E1,-2.152079964E1
1.960352156E1,-5.416800022E0,4.147999954E1,-2.692539978E1
1.965352156E1,-2.952399969E0,3.885699844E1,-3.193959999E1
1.970352156E1,-5.733999610E-1,3.663660049E1,-3.588019943E1
1.975352156E1,1.903199911E0,3.430640030E1,-3.885699844E1
