"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.787487402E1,-1.235534000E1,-3.251726151E1,1.149930763E1
6.792487402E1,-3.796512127E0,-3.249453068E0,5.629115105E0
6.797487402E1,-2.644966364E0,-1.878216171E1,-7.153044224E0
6.802487402E1,-4.780560493E0,-4.966004372E0,-3.803690672E0
6.807487402E1,5.286642551E0,-1.193031502E1,-8.168199539E0
6.812487402E1,7.379166126E0,-1.381226921E1,1.585544109E0
6.817487402E1,9.029914737E-1,-5.581258774E0,3.354737282E0
6.822487402E1,-3.741477251E0,-7.597211838E0,2.164906263E0
6.827487402E1,-2.048854351E0,-8.614460945E0,-8.398807645E-1
6.832487402E1,1.015753269E0,-8.126026154E0,-1.222732425E0
6.837487402E1,4.618745804E0,-1.227996540E1,4.846064091E0
6.842487402E1,3.290131092E0,-1.403001690E1,1.250249863E0
6.847487402E1,2.111666054E-1,-1.570588970E1,1.434497118E0
6.852487402E1,-2.288136721E0,-1.615364647E1,-1.361815214E0
6.857487402E1,-4.943272591E0,-1.708953857E1,-7.178468108E-1
6.862487402E1,-1.158126116E0,-1.316321659E1,-2.601895571E0
6.867487402E1,1.063609719E0,-5.921338558E0,-1.546062589E0
6.872487402E1,5.384748459E0,-2.732304335E0,-3.044866800E0
6.877487402E1,6.517450809E-1,-3.526422381E-1,-2.070389748E0
6.882487402E1,-1.280160069E0,-9.463613629E-1,-7.345965505E-1
6.887487402E1,-6.334100723E0,-1.134855938E1,1.189202976E1
6.892487402E1,-5.452644825E-1,-1.334537029E1,9.529116631E0
6.897487402E1,-3.162115097E0,-1.208614731E1,2.868695259E0
6.902487402E1,-4.849952221E0,-6.213263035E0,-1.008335495E1
6.907487402E1,2.694019079E0,-9.002396584E0,-8.347661018E0
6.912487402E1,3.778566122E0,-1.689572144E1,4.666602135E0
6.917487402E1,5.126323223E0,-7.393522739E0,8.503493667E-1
6.922487402E1,-3.310470104E0,-5.231607437E0,1.166501045E0
6.927487402E1,-3.985545158E0,-9.797113419E0,6.493522525E-1
6.932487402E1,-1.239482164E0,-8.521140099E0,-2.091925144E0
6.937487402E1,4.163810730E0,-1.240199947E1,3.615555048E0
6.942487402E1,7.812565804E0,-1.369232941E1,2.897409201E0
6.947487402E1,-4.495515525E-1,-1.463330650E1,4.575675011E0
6.952487402E1,-1.253839016E0,-1.603639793E1,4.890331328E-1
6.957487402E1,-4.306482315E0,-1.823151398E1,-6.932904720E0
6.962487402E1,-3.892225027E0,-1.398215961E1,-1.644168258E0
6.967487402E1,4.036991119E0,-3.529413462E0,-4.466801643E0
