"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.247183214E1,3.103191853E0,-7.072884560E0,-1.270499134E1
5.252183214E1,7.960920811E0,1.126122189E1,9.442975044E0
5.257183214E1,9.919445992E0,-3.728316784E0,-1.371386528E0
5.262183214E1,1.745863199E0,2.783750057E0,5.825326920E0
5.267183214E1,1.721935034E0,-8.195417374E-2,1.982752681E0
5.272183214E1,2.019721794E1,-2.595016098E1,6.984051228E0
5.277183214E1,1.704646873E1,-6.437320709E1,-7.524230957E0
5.282183214E1,8.195417374E-2,-1.425494194E1,-4.682454586E0
5.287183214E1,2.179263115E0,5.000699997E0,-2.719143867E0
5.292183214E1,-2.331207514E0,3.942474365E0,-1.633430481E1
5.297183214E1,-7.538587570E0,3.377469063E0,-9.470493317E0
5.302183214E1,2.598007202E0,-1.393819153E-1,4.606542587E1
5.307183214E1,-1.596311808E0,-6.847660065E0,-1.300170135E1
5.312183214E1,-2.206780672E0,-7.048956394E0,-9.405886650E0
5.317183214E1,2.480758905E0,-3.287887955E1,-1.317667580E1
5.322183214E1,3.530639648E1,-4.351587296E1,-2.934497833E0
5.327183214E1,2.561965370E1,-6.548557281E0,2.563161659E1
5.332183214E1,-5.297709465E0,5.247160912E0,1.632832336E1
5.337183214E1,1.052034378E1,-2.959622622E0,-8.087740541E-1
5.342183214E1,3.675375462E0,3.250649452E0,1.158066368E1
5.347183214E1,-4.004687786E0,-4.866403043E-1,3.098406315E0
5.352183214E1,1.060648537E1,-9.014361382E0,-2.916252613E-1
5.357183214E1,4.014229202E1,-5.296512985E1,1.365882969E1
5.362183214E1,5.552545071E0,-4.628795624E1,-2.812463999E0
5.367183214E1,-5.739783049E-1,9.451649189E-1,-7.872386575E-1
5.372183214E1,-4.268197536E0,6.762714863E0,-7.981259823E0
5.377183214E1,-7.495516777E0,6.913462639E0,-1.092144108E1
5.382183214E1,-4.790132046E0,2.700001240E0,-6.482754707E0
5.387183214E1,3.302095175E0,-1.686461449E1,3.017110062E1
5.392183214E1,-3.265006542E0,-1.506580949E0,-7.538587570E0
5.397183214E1,-6.176174164E0,-2.856940460E1,-1.822343826E1
5.402183214E1,1.470030594E1,-3.102803040E1,-6.925725937E0
5.407183214E1,4.812923431E1,-4.564638138E1,-1.811576080E1
5.412183214E1,7.915457249E0,-4.288536549E0,-7.490731239E0
5.417183214E1,6.112764359E0,1.216152096E1,1.044826031E1
5.422183214E1,9.699007034E0,-2.591127872E0,-3.475574970E0
5.427183214E1,1.417747378E0,1.210768223E0,4.542175770E0
5.432183214E1,1.855933070E0,-4.513461590E0,1.085145116E0
5.437183214E1,2.389592361E1,-3.726462173E1,1.234457207E1
5.442183214E1,1.223689461E1,-6.265426636E1,-2.424826622E0
5.447183214E1,-7.585247755E-1,-1.327597809E1,-6.961618423E0
5.452183214E1,2.196012974E0,7.950153351E0,-2.697608471E0
5.457183214E1,-2.137388945E0,7.696514130E0,-1.459861088E1
5.462183214E1,-6.755536556E0,2.640180588E0,-7.926225185E0
5.467183214E1,2.353939295E0,-1.705185294E0,3.149971581E1
5.472183214E1,3.948456526E0,-7.843672752E0,9.412766099E-1
5.477183214E1,-2.994318485E0,-9.894321561E-1,-5.811567903E-1
5.482183214E1,2.751446962E0,-5.572794342E1,-1.393550014E1
5.487183214E1,2.800918579E1,-3.128196907E1,-7.232007504E0
5.492183214E1,1.995285034E1,-1.091037369E1,5.861218929E0
5.497183214E1,-6.947261333E0,8.276175261E-1,8.988039970E0
5.502183214E1,8.152346611E0,-3.311068416E-1,1.647757530E0
5.507183214E1,6.486044884E0,4.026223183E0,6.098407745E0
5.512183214E1,-7.704889178E-1,1.337587833E0,8.525926590E0
5.517183214E1,9.407083511E0,-1.294307709E1,-5.728417397E0
5.522183214E1,1.816690826E1,-7.835716248E1,5.727221012E0
5.527183214E1,1.906182289E0,-2.279971123E1,-1.936391711E0
5.532183214E1,7.482057095E0,4.179363728E0,-3.985545158E0
5.537183214E1,2.191227436E0,6.722036839E0,-1.063878822E1
5.542183214E1,-1.957927108E0,7.045367241E0,-1.530239964E1
5.547183214E1,-6.984050870E-1,-2.818445921E0,-6.026921868E-1
5.552183214E1,5.201398134E-1,-8.437391281E0,9.940682411E0
5.557183214E1,-8.625527382E0,-6.225227356E0,-2.163979149E1
5.562183214E1,-1.935195327E-1,-2.234716797E1,-1.502243996E1
5.567183214E1,9.291928291E0,-2.757817841E1,6.141478539E0
5.572183214E1,2.683849716E1,-3.752334595E1,-1.803889084E1
5.577183214E1,2.042573214E0,-5.128716469E0,1.087687397E1
5.582183214E1,-6.792625189E-1,1.009771109E0,1.042433167E1
5.587183214E1,4.013062477E0,-8.383852243E-1,1.044467092E0
5.592183214E1,9.702895880E-1,4.040580273E0,9.317052960E-1
5.597183214E1,5.825326920E0,-2.761018276E0,1.403390527E0
5.602183214E1,2.281646156E1,-5.001089096E1,1.726690674E1
5.607183214E1,6.019444466E0,-3.573979568E1,-7.441678643E-1
5.612183214E1,3.713660717E0,-1.410868049E0,-1.459920883E0
5.617183214E1,-7.848458290E-1,2.199602127E0,-5.209175110E0
5.622183214E1,-1.770987868E0,9.570991516E0,-1.886501312E1
5.627183214E1,-2.015354872E0,1.017667484E1,-7.260721207E0
5.632183214E1,6.790232658E0,-1.452084446E1,4.749453735E1
5.637183214E1,-6.840481758E-1,-3.268595695E0,-1.021017456E1
5.642183214E1,4.962115884E-1,-3.232344437E1,-1.359302711E1
5.647183214E1,1.735065651E1,-3.127957535E1,4.603192508E-1
5.652183214E1,1.976142502E1,-3.487538910E1,7.825157928E1
5.657183214E1,-4.462016106E0,-7.355237484E0,2.136192322E0
5.662183214E1,3.701696634E0,9.032307625E0,1.489891052E1
5.667183214E1,6.572485447E0,-2.670090914E0,1.513460279E-1
5.672183214E1,-1.837986946E0,1.004985452E0,8.269894600E0
5.677183214E1,7.838887215E0,-5.349154949E0,1.446461320E0
5.682183214E1,2.420011139E1,-4.292424774E1,9.914361954E0
5.687183214E1,1.219143152E0,-4.376712036E1,5.368895531E-1
