"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.096791990E1,4.623939991E-1,-1.791404724E0,3.125757217E0
1.101791990E1,-4.811711907E-1,-2.728783607E0,1.014025688E0
1.106791990E1,-8.696624041E-1,8.024563789E-1,-1.712073565E0
1.111791990E1,-1.148899078E0,1.665593147E0,-1.609276295E0
1.116791990E1,1.834002733E-1,3.474993706E-1,-8.958058357E-1
1.121791990E1,4.436827660E0,-2.364759445E0,3.119137764E0
1.126791990E1,1.472318888E0,1.349830151E0,2.001041889E0
1.131791990E1,1.828649521E0,-2.212462425E-1,1.462474346E0
1.136791990E1,1.061834812E0,-2.432654858E0,-4.054923058E-1
1.141791990E1,-3.291082382E-2,-2.430233002E0,-1.586795807E0
1.146791990E1,-1.985520005E0,3.898329735E-1,-2.164685249E0
1.151791990E1,-1.140320659E0,-3.406620026E-2,-1.349075317E0
1.156791990E1,5.740222931E-1,-1.144110203E0,-3.071098328E-1
1.161791990E1,-9.354275465E-1,-6.820230484E-1,-9.732427597E-1
1.166791990E1,-2.753081322E0,1.274803996E0,-2.758577347E0
1.171791990E1,-1.824198008E0,1.691109180E0,-3.289609909E0
1.176791990E1,-8.422361612E-1,9.705984592E-1,-4.483213425E-1
1.181791990E1,3.075809479E-1,-8.662462234E-1,4.313459396E-1
1.186791990E1,4.469021559E-1,1.251826763E0,2.615423203E-1
1.191791990E1,-1.329119444E0,-8.461556435E-1,-7.272171974E-1
1.196791990E1,6.315617561E-1,-9.781742096E-1,-6.955451965E-1
1.201791990E1,5.035077929E-1,6.574449539E-1,9.848227501E-1
1.206791990E1,9.727702737E-1,-3.462570190E0,2.901832104E0
1.211791990E1,-7.493007183E-2,-2.404254913E0,2.903210163E0
1.216791990E1,-7.888158560E-1,-3.282041550E-1,6.246366501E-1
1.221791990E1,-6.564924121E-1,1.369848251E0,-7.320494652E-1
1.226791990E1,1.705880523E0,6.112465858E-1,-2.919578552E-2
1.231791990E1,1.873161316E0,-1.988674641E0,3.591372013E0
1.236791990E1,2.429965019E0,-5.251259804E-1,-3.199391365E-1
1.241791990E1,2.876671553E-1,-2.116045952E0,1.080964565E0
1.246791990E1,2.386644602E0,-6.992802620E-1,-4.672408104E-1
1.251791990E1,1.423168778E0,5.484476089E-1,-1.672907352E0
1.256791990E1,1.249915719E0,-2.412880898E0,1.390001297E0
1.261791990E1,-4.124698639E-1,-2.120882511E0,-1.157219410E0
