"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.602035020E1,-2.025874853E0,-2.922904193E-1,1.036760569E0
1.607115598E1,-1.323858738E0,-3.843756318E-1,8.376243114E-1
1.612196250E1,-4.756973088E-1,-3.530697227E-1,-5.899257660E-1
1.617276817E1,2.074895382E0,2.857238054E-1,-3.335226178E-1
1.622357312E1,4.360685825E0,6.006155610E-1,-4.085040987E-1
1.627437890E1,3.589491129E0,-2.145601064E-1,-4.202629030E-1
1.632518541E1,2.699792147E0,2.105590582E0,4.085040987E-1
1.637599109E1,2.625726938E0,4.056025743E-1,7.482878864E-2
1.642679599E1,2.542346239E0,3.138533115E0,5.925218388E-2
1.647760177E1,7.357655168E-1,2.932677746E0,-6.355865598E-1
1.652840828E1,-1.589882731E0,1.885380030E0,-1.149003744E0
1.657921395E1,-8.295305967E-1,5.593833923E-1,-1.108687758E0
1.663001885E1,1.165191174E0,1.742441773E0,-1.921114624E-1
1.668082463E1,3.307738006E-1,1.792836636E-1,-6.421532035E-1
1.673163109E1,-7.331694365E-1,-2.491798639E0,2.414373755E-1
1.678243677E1,-2.676732779E0,-1.684105873E0,3.884988427E-1
1.683324166E1,-2.157512426E0,-2.914352179E0,8.900044560E-1
1.688404744E1,-2.964594364E0,1.164885759E0,-6.070294380E-1
1.693485390E1,-2.027860165E0,-1.382652760E0,-1.439767003E0
1.698565958E1,-1.176949978E0,-2.560213566E0,-2.383831441E-1
1.703646447E1,-1.519788027E0,-2.386274815E0,6.908682585E-1
1.708727020E1,-2.535932302E0,1.006218195E0,8.328902125E-1
1.713807671E1,-1.835595965E-1,-1.711899400E0,1.195733473E-1
1.718888234E1,4.995203316E-1,4.083513916E-1,-3.961344361E-1
1.723968724E1,3.398906946E0,1.024085402E0,-5.299099684E-1
1.729049296E1,4.051597118E0,3.119902313E-1,-5.659499764E-1
1.734129942E1,2.962761879E0,2.219208002E0,-1.798945218E-1
1.739210505E1,2.632751703E0,8.974873424E-1,1.398840249E-1
1.744290994E1,2.881977320E0,1.147323847E0,-9.865183383E-2
1.749371567E1,1.818339586E0,2.988264799E0,-4.567610323E-1
1.754452213E1,-3.358132839E-1,2.967954159E0,-8.225058317E-1
1.759532776E1,-2.180113792E0,1.023779988E0,-1.627755284E0
1.764613265E1,4.611896873E-1,1.068371892E0,-1.328592747E-2
1.769693838E1,9.179506898E-1,1.054780483E0,-4.955498278E-1
1.774774484E1,-2.860292196E-1,-2.159803152E0,1.359135211E-1
1.779855046E1,-2.006022453E0,-1.902483821E0,3.301629424E-1
1.784935531E1,-2.648328304E0,-4.164298534E0,1.025001645E0
1.790016104E1,-3.035605431E0,1.025154471E0,-5.039489828E-3
1.795096750E1,-2.588159800E0,-1.053864241E0,-1.439614296E0
1.800177307E1,-1.409224629E0,-2.517912388E0,-6.368082762E-1
1.805257796E1,-1.323400617E0,-2.878923178E0,4.842491746E-1
1.810338359E1,-2.035801172E0,5.894676223E-2,1.168398142E0
1.815419010E1,-1.175422788E0,-3.833066523E-1,5.651864409E-1
1.820499572E1,1.052184403E-1,2.783936262E-1,-5.767925382E-1
1.825580057E1,2.931150675E0,8.628217578E-1,-7.455390692E-1
1.830660630E1,4.282497406E0,2.260134928E-2,-6.114581227E-1
1.835741270E1,3.146168709E0,1.235133171E0,-1.473668963E-1
1.840821828E1,2.682993889E0,7.446228266E-1,4.237752855E-1
1.845902317E1,3.021861315E0,1.059056401E0,3.379512429E-1
1.850982885E1,2.115364075E0,2.772941113E0,-3.348970115E-1
1.856063526E1,1.765348613E-1,2.934968472E0,-6.749862432E-1
1.861144088E1,-1.917449594E0,1.003622055E0,-1.082115889E0
1.866224572E1,-2.698417902E-1,4.332434237E-1,-5.441122055E-1
1.871305140E1,1.249335408E0,1.258345366E0,-2.286095917E-1
1.876385781E1,3.038965166E-2,-1.477639556E0,-5.619794875E-2
1.881466338E1,-1.719382286E0,-2.531809092E0,4.798205197E-1
1.886546822E1,-3.122040272E0,-4.487589359E0,8.713735938E-1
1.891627395E1,-2.877548695E0,3.981196880E-1,6.116108298E-1
1.896708036E1,-2.654894829E0,-1.608055383E-1,-1.407850266E0
1.901788593E1,-1.820630312E0,-2.427812338E0,-1.117697716E0
1.906869078E1,-1.145796776E0,-3.377374411E0,2.195995897E-1
1.911949645E1,-1.925543308E0,-2.070772201E-1,1.024390817E0
1.917030286E1,-1.191610336E0,-1.087308168E0,6.665870547E-1
1.922110838E1,-1.832541823E-1,-2.641914412E-2,-3.738385141E-1
1.927191322E1,2.394521236E0,8.486195803E-1,-5.625903010E-1
1.932271890E1,4.240043640E0,5.583143830E-1,-6.148177385E-1
1.937352531E1,3.243293524E0,8.528954983E-1,-3.081724346E-1
1.942433088E1,2.875716209E0,1.257123709E0,5.468609929E-1
1.947513567E1,2.926569223E0,9.260444641E-1,1.476723254E-1
1.952594135E1,2.328855276E0,2.701319218E0,-2.848075330E-1
1.957674776E1,3.268032968E-1,3.203283072E0,-6.285618544E-1
1.962755333E1,-1.702431321E0,1.775885701E0,-1.415638566E0
1.967835812E1,-3.080197275E-1,2.738122940E-1,-8.360971808E-1
1.972916380E1,1.222305417E0,1.590035439E0,-2.736595869E-1
1.977997015E1,4.434750974E-1,-6.714738607E-1,-5.207473040E-2
1.983077572E1,-1.256665468E0,-2.587854385E0,5.092939138E-1
1.988158052E1,-3.164646864E0,-4.090691566E0,7.024743557E-1
