"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.123890083E1,-2.256438766E0,-1.023023003E0,1.051777198E0
1.128876383E1,1.300514317E-1,6.750306416E-1,-4.491352323E-1
1.133862683E1,-8.455507989E-1,7.008677334E-1,-9.513701264E-1
1.138848983E1,-1.299323823E0,-2.275042852E0,-6.607797345E-1
1.143835271E1,2.352205926E0,5.812605983E-1,3.885040645E-1
1.148821571E1,1.561353198E0,7.265352559E-1,-1.147812014E0
1.153807871E1,-3.812375469E-1,2.609086096E-2,6.600723676E-1
1.158794171E1,6.282135207E-1,1.381042171E-1,-2.053986526E-1
1.163780471E1,-1.128813113E-1,1.271810335E-1,-1.069748104E-1
1.168766771E1,-4.654982085E-2,2.028533596E-1,-7.789551057E-2
1.173753071E1,7.806705326E-2,-4.696723348E-1,7.150185069E-1
1.178739371E1,1.201229399E0,1.472983205E0,-8.407546203E-1
1.183725671E1,2.278298728E0,-6.936142623E-2,2.316070426E-1
1.188711971E1,-3.132070127E0,-4.699272734E-1,7.516116250E-1
1.193698271E1,3.922735086E-1,2.002332222E-1,-3.619320508E-1
1.198684571E1,3.043266709E0,8.983872628E-1,-4.870426583E-1
1.203670871E1,-2.396008588E0,-1.574889064E-1,7.684410810E-2
1.208657171E1,-2.846111754E0,-5.852945924E-2,9.681246650E-1
1.213643471E1,5.908830687E-1,-3.840211505E-1,-3.875546229E-1
1.218629671E1,3.138685960E-1,-1.722911328E-1,-3.161962994E-1
1.223615971E1,-7.999373274E-1,-7.119686723E-2,-2.842669936E-1
1.228602271E1,-4.412163847E-1,1.675086951E-1,-8.601473495E-2
1.233588571E1,-1.785661636E-1,-2.411075985E-1,2.779134822E-1
1.238574871E1,1.190109383E0,4.044057137E-1,-1.275019287E0
1.243561312E1,-5.808142365E-1,-4.412595445E-1,-5.764173496E-1
1.248547613E1,-1.477936089E0,1.331633198E-1,9.908786662E-1
1.253533912E1,7.736002256E-1,-2.529084492E-1,-1.312481228E0
1.258520212E1,3.025892621E-1,1.233709878E-1,3.065496727E-1
1.263506512E1,3.447478149E-1,-1.757760733E-1,6.605519123E-1
1.268492813E1,1.065237927E0,4.876542771E-1,-3.574519873E-1
1.273479112E1,1.005417037E0,2.821860427E-1,-8.249216028E-1
1.278465412E1,1.864093227E0,2.562355149E-1,-1.733056247E-1
1.283451712E1,1.165830136E0,5.307622898E-1,-8.688436210E-1
1.288438013E1,-1.463133131E0,-8.397946537E-2,1.059772754E0
1.293424312E1,-3.241002586E0,3.809694886E-2,7.548205769E-1
1.298410612E1,3.352766046E-1,-2.322765487E-1,-3.469866407E-1
1.303396912E1,-2.096959541E-1,-2.183087200E-1,1.291247649E0
1.308383213E1,-8.104054514E-2,2.679983586E-1,-3.197210010E-1
1.313369512E1,-4.463194326E-2,-6.094786763E-2,8.922687364E-1
1.318355812E1,-1.272192158E0,-3.028922027E-1,3.715016770E-1
1.323342112E1,-1.351574543E0,2.083129048E-2,-7.803460121E-1
1.328328412E1,8.052008813E-3,-2.057910007E-1,2.930343819E-1
1.333314712E1,1.068748961E0,3.019274122E-1,-9.682053566E-2
1.338301012E1,4.275965019E-1,1.500278592E-2,1.691155100E-1
1.343287237E1,1.086803555E0,-8.503664196E-2,8.911160309E-2
1.348273437E1,-4.672827605E-1,4.920753568E-1,3.929983441E-1
1.353259737E1,-7.665379585E-1,2.273455918E-2,8.403384447E-2
1.358246037E1,8.975683603E-1,1.351975662E-1,1.952701787E-1
1.363232338E1,1.882896630E-2,-2.582264918E-1,8.110859942E-1
1.368218637E1,-1.344862962E0,-1.126302373E-1,3.139357658E-1
1.373204937E1,-2.405492187E0,-3.378217149E-1,1.196474808E0
1.378191237E1,2.797106824E0,1.875985587E-1,-5.746830654E-1
1.383177538E1,2.050270912E0,8.258285791E-1,1.138530071E0
1.388163837E1,3.597548839E0,1.184434807E0,-2.779545296E0
1.393150137E1,-1.509878258E0,-1.753416837E0,3.444703499E0
1.398136437E1,-3.669957834E0,6.050768924E-1,-2.692314633E-1
1.403122738E1,2.957868125E-1,5.862137747E-1,-5.062555126E-1
1.408109037E1,-6.891156339E-1,-3.766115588E-1,1.807023525E-2
1.413095337E1,-1.265155473E0,-2.878841543E-1,-1.650098875E-2
1.418081637E1,4.721905113E-1,9.678896070E-3,-9.281565341E-1
1.423067938E1,9.191121340E-1,6.085483843E-1,-8.277822800E-1
1.428054237E1,1.252760837E0,-6.345451051E-1,-3.115186000E-1
1.433040437E1,1.093241120E-1,6.443748593E-2,-1.745032807E-1
1.438026738E1,1.539308757E-2,-4.659026349E-1,5.644785047E-1
1.443013033E1,3.464271352E-1,-6.133512872E-1,-5.314266796E-1
1.447999333E1,1.104606572E0,1.295146573E-1,4.038006730E-1
1.452985633E1,1.603289575E0,-3.455868173E-1,1.662698017E0
1.457971933E1,1.352960333E0,2.087046683E-1,5.147761483E-1
1.462958233E1,9.893689151E-1,5.864628661E-1,1.044464743E-1
1.467944533E1,6.675089295E-1,-1.879909068E-1,4.697628205E-1
1.472930833E1,3.227697758E-1,7.070061404E-1,1.257260270E0
1.477917133E1,1.863520054E0,-1.070666701E0,-3.002872682E-1
1.482903433E1,6.226261407E-3,-1.057195886E0,1.017651751E0
1.487889733E1,-1.272007386E0,2.889629656E-1,8.154535135E0
1.492876033E1,1.636135432E0,-5.129341292E-1,-1.743225725E0
1.497862233E1,-2.900085209E-1,-1.289000564E0,4.948198937E-2
1.502848533E1,-4.157072121E0,-3.666468508E0,-2.111265996E0
1.507834833E1,3.664214699E-1,5.049240285E-1,-3.005410373E-1
1.512821133E1,-2.310285190E0,1.218611197E0,-3.759955546E-1
1.517807433E1,-2.764111863E0,1.614560668E0,-1.109241368E0
1.522793733E1,-1.657810037E0,3.833908206E-1,-2.653595102E-1
1.527780033E1,6.390274344E-1,1.070246286E0,3.846485567E-1
1.532766333E1,2.221221132E0,6.449718601E-1,1.446695585E0
1.537752633E1,1.591250889E0,1.267806162E0,1.738257346E-1
1.542738875E1,1.020810125E0,1.048535575E0,8.006601164E-1
1.547725175E1,-2.376058619E0,-4.075977087E-1,-1.006295874E0
1.552711375E1,-6.207817827E-1,-1.479310477E0,-2.588703872E0
1.557697675E1,-2.079634021E0,-6.325420244E0,2.664345793E0
1.562683975E1,-7.764637533E-1,3.566011004E0,-2.244185926E0
1.567670275E1,1.827514215E0,-1.527883297E0,7.193133599E-1
1.572656575E1,2.912798517E-1,1.309940028E-1,-5.367147553E-1
1.577642875E1,-8.224526891E-1,2.311345875E-1,-3.459259558E-1
1.582629175E1,1.451272347E-1,-2.237805444E-1,-7.496247411E-1
1.587615475E1,1.282149528E0,6.175747311E-1,-1.649604785E-1
1.592601775E1,2.135087991E0,-5.781142116E-2,-4.620656919E-1
1.597587975E1,-3.444520189E-1,-2.234864295E-1,-8.386604400E-1
1.602574275E1,6.972010175E-1,1.602072769E-1,-9.253131062E-1
1.607560575E1,3.957502996E-1,-5.567993563E-1,-1.474270177E0
1.612546875E1,-7.468929950E-1,-7.949465096E-2,-1.778013149E0
1.617533175E1,-2.102584928E0,-4.130946761E-1,-1.082347757E0
1.622519475E1,-4.164992175E-1,4.305076844E-1,-1.211080568E0
1.627505775E1,-2.060026115E0,-5.091322696E-1,3.098591602E-1
1.632492075E1,1.732455153E0,1.889188600E0,1.705022357E0
1.637478275E1,-3.180296208E0,-2.174420457E0,3.773885368E0
1.642464575E1,-3.787305897E-1,-6.662469542E-1,-1.144086095E0
1.647450921E1,-1.078368800E0,-9.290839756E-1,6.990170896E-1
1.652437221E1,6.449895479E-1,-3.076986140E0,1.616844006E0
1.657423521E1,1.382296398E0,4.913380229E-1,-2.601774738E0
1.662409821E1,-1.659562009E0,1.996738776E0,-2.778199085E-1
1.667396121E1,-2.904302951E0,6.498753351E-1,1.032038240E0
1.672382421E1,2.005766585E0,4.451537901E-1,-1.789914572E0
1.677368621E1,-1.519229418E0,1.190997137E0,-7.601789653E-1
1.682354921E1,-4.544906241E-1,-2.600856140E0,5.073605633E-1
1.687341221E1,2.356603324E-1,6.330137193E-2,9.537943089E-1
1.692327521E1,1.417183810E-1,3.188410681E-1,-8.533753967E-1
1.697313821E1,-6.024067613E-1,1.507537326E0,-1.433806860E0
1.702300121E1,-1.033097756E0,-3.496599877E-1,2.567974323E-1
1.707286321E1,8.063841020E-1,3.153415096E-1,-2.413514274E-1
1.712272621E1,-2.565046330E-1,-2.737398566E0,1.412656896E0
1.717258921E1,6.448344505E-1,5.182767302E-1,-7.724534404E-1
1.722245221E1,1.390123627E0,-4.223385394E-1,1.324563915E-1
1.727231521E1,3.584754839E0,5.174809241E-1,-1.056474997E0
1.732217821E1,-1.030132048E0,1.466534895E0,-5.309167293E-1
1.737204121E1,6.956033389E-1,-1.516288269E-1,-2.457712647E-1
1.742190321E1,2.364988085E0,7.216668642E-1,-1.084436309E0
1.747176562E1,-1.027940512E-2,-2.047636449E-1,1.009485968E-1
1.752162862E1,5.723336542E-1,6.621913254E-2,-5.340537605E-1
1.757149162E1,3.502303836E-1,3.715215576E-1,1.069119528E-2
1.762135462E1,4.682961926E-1,2.925929171E-1,-8.716959659E-1
1.767121662E1,-3.274206877E-1,-7.274181855E-1,3.230931634E-1
1.772107962E1,1.351399857E0,4.508010310E-1,-3.059661571E-1
1.777094262E1,1.088295545E0,-6.341018862E-1,5.286565612E-1
1.782080563E1,1.291794071E0,5.518713230E-1,9.357299209E-2
1.787066862E1,2.415067587E0,1.355300388E0,1.416719542E0
1.792053162E1,6.052946427E0,-9.775930613E-1,3.566343711E0
1.797039363E1,7.135398776E0,1.923983626E0,-1.211353049E0
1.802025662E1,1.979341117E0,2.117463899E-1,3.710784556E0
1.807011962E1,7.683141965E-1,-1.168943778E0,1.264152237E0
1.811998262E1,-9.514501601E-1,-2.470182565E0,9.698248892E-1
1.816984563E1,2.782748401E0,-1.299590456E-1,2.235095260E-1
1.821970862E1,7.578564513E-1,-8.342631876E-1,-4.052684703E-1
1.826957062E1,1.869170072E0,-2.570096862E0,4.376582444E-2
1.831943363E1,-8.593342942E-1,-2.405224092E0,-9.280817628E-2
1.836929662E1,-3.539177547E0,-2.921764199E0,4.939435422E-1
1.841915962E1,-6.308924664E0,5.726032108E-2,-2.574000756E0
1.846902346E1,-5.697761405E0,2.194707372E0,-3.402933622E0
1.851888546E1,-3.104745212E0,1.318318503E0,-3.217009998E0
